Card Name
Zamazenta V (Secret)
Water Energy (2004-2005)
Zangoose
Zorua
Zorua
Zorua (#23)
Zweilous
Zorua
Zweilous
Zebstrika
Amoonguss (Team Plasma)
Zweilous
Zekrom
Ursaring
Zweilous
Zygarde EX (Shiny)
Zygarde (Staff Prerelease)
Zygarde (Prerelease)
Zygarde
Zekrom (Full Art Promo)
Yveltal EX - XY150 (Shiny)
Yveltal EX - XY08
Yveltal - XY32
Yveltal - XY06
Yanmega (XY Steam Siege Staff Prerelease)
Yanmega (XY Steam Siege Prerelease)
Xerneas EX - XY149 (Shiny)
Xerneas EX
Xerneas (Battle Arena Decks)
Xerneas
Wobbuffet BREAK
Zubat
Yanma
Wooper
Voltorb
Venture Bomb
Treecko Star
Torchic Star
Togetic
Togepi
Swoop! Teleporter
Swinub
Surprise! Time Machine
Spinarak
Slugma
Slowpoke
Skiploom
Sentret
Seadra
Sandshrew
Rocket's Zapdos ex
Rocket's Wobbuffet
Rocket's Tricky Gym
Rocket's Suicune ex
Rocket's Snorlax ex
Rocket's Sneasel ex
Rocket's Scyther ex
Rocket's Scizor ex
Rocket's Poke Ball
Rocket's Moltres ex
Rocket's Mission
Rocket's Mewtwo ex
Rocket's Meowth
Rocket's Hitmonchan ex
Rocket's Hideout
Rocket's Entei ex
Rocket's Articuno ex
Rocket's Admin.
Remoraid
Rattata (72)
Rattata (71)
R Energy
Qwilfish
Quagsire
Psyduck
Pow! Hand Extension
Pokemon Retriever
Piloswine
Onix
Mudkip Star
Misdreavus
Marill
Mareep
Mantine
Magnemite
Magmar
Magikarp
Magby
Ledyba
Ledian
Larvitar (63)
Larvitar (62)
Koffing
Kingdra
Jumpluff
Houndour (60)
Houndour (59)
Horsea
Hoppip
Here Comes Team Rocket!
Heracross
Grimer
Furret
Ekans
Drowzee
Dratini (53)
Dratini (52)
Delibird
Dark Weezing
Dark Tyranitar (20)
Dark Tyranitar (19)
Dark Steelix
Dark Sandslash
Dark Raticate
Dark Pupitar (41)
Dark Slowking
Dark Pupitar (40)
Dark Octillery
Dark Muk
Dark Metal Energy
Dark Marowak
Dark Magneton
Dark Magcargo
Dark Hypno
Dark Houndoom (5)
Dark Houndoom (37)
Dark Gyarados
Dark Golduck
Dark Golbat
Dark Flaaffy
Dark Electrode
Dark Dragonite
Dark Dragonair (32)
Dark Dragonair (31)
Dark Crobat
Dark Ariados
Dark Arbok
Dark Ampharos
Cubone
Copycat
Charmeleon
Azumarill
White Kyurem (Staff Prerelease)
White Kyurem (Prerelease)
White Kyurem (Full Art Promo)
Weezing - XY163
Volcanion EX
Volcanion (XY Steam Siege Staff Prerelease)
Volcanion (XY Steam Siege Prerelease)
Volcanion - XY185
Volcanion - XY164
Vivillon
Victini - XY189
Victini - XY117
